,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2524,Kepler-231,Transit,,,19h35m53.60s,+50d31m54.9s,3767.0,,0.49
2525,Kepler-232,Transit,,,19h43m15.88s,+51d07m18.3s,5847.0,,0.97
2526,Kepler-232,Transit,,,19h43m15.88s,+51d07m18.3s,5847.0,,0.97
2527,Kepler-233,Transit,,,19h45m27.97s,+51d19m10.3s,5360.0,,0.76
2528,Kepler-233,Transit,,,19h45m27.97s,+51d19m10.3s,5360.0,,0.76
2529,Kepler-234,Transit,,,19h26m36.84s,+38d29m40.8s,6224.0,,1.11
2530,Kepler-234,Transit,,,19h26m36.84s,+38d29m40.8s,6224.0,,1.11
2531,Kepler-235,Transit,,,19h04m18.98s,+39d16m41.9s,4255.0,,0.55
2532,Kepler-235,Transit,,,19h04m18.98s,+39d16m41.9s,4255.0,,0.55
2533,Kepler-235,Transit,,,19h04m18.98s,+39d16m41.9s,4255.0,,0.55
2534,Kepler-235,Transit,,,19h04m18.98s,+39d16m41.9s,4255.0,,0.55
2535,Kepler-236,Transit,,,18h55m27.93s,+39d53m53.1s,3750.0,,0.51
2536,Kepler-236,Transit,,,18h55m27.93s,+39d53m53.1s,3750.0,,0.51
2537,Kepler-237,Transit,,,18h52m53.13s,+40d25m18.6s,4861.0,,0.72
2538,Kepler-237,Transit,,,18h52m53.13s,+40d25m18.6s,4861.0,,0.72
2539,Kepler-238,Transit,,,19h11m35.31s,+40d38m16.1s,5751.0,,1.43
2540,Kepler-238,Transit,,,19h11m35.31s,+40d38m16.1s,5751.0,,1.43
2541,Kepler-238,Transit,,,19h11m35.31s,+40d38m16.1s,5751.0,,1.43
2542,Kepler-238,Transit,,,19h11m35.31s,+40d38m16.1s,5751.0,,1.43
2543,Kepler-238,Transit,,,19h11m35.31s,+40d38m16.1s,5751.0,,1.43
2544,Kepler-239,Transit,,,19h36m48.51s,+40d39m48.3s,4914.0,,0.76
2545,Kepler-239,Transit,,,19h36m48.51s,+40d39m48.3s,4914.0,,0.76
2546,Kepler-24,Transit,,,19h21m39.18s,+38d20m37.5s,5897.0,,1.29
