,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2754,Kepler-310,Transit,,,19h15m21.45s,+46d59m12.3s,5797.0,,0.88
2755,Kepler-310,Transit,,,19h15m21.45s,+46d59m12.3s,5797.0,,0.88
2756,Kepler-310,Transit,,,19h15m21.45s,+46d59m12.3s,5797.0,,0.88
2757,Kepler-311,Transit,,,18h48m14.71s,+47d05m07.8s,5905.0,,1.19
2758,Kepler-311,Transit,,,18h48m14.71s,+47d05m07.8s,5905.0,,1.19
2759,Kepler-312,Transit,,,19h53m34.99s,+42d27m35.1s,6115.0,,1.47
2760,Kepler-312,Transit,,,19h53m34.99s,+42d27m35.1s,6115.0,,1.47
2761,Kepler-313,Transit,,,19h53m10.78s,+48d46m31.7s,5727.0,,1.54
2762,Kepler-313,Transit,,,19h53m10.78s,+48d46m31.7s,5727.0,,1.54
2763,Kepler-314,Transit,,,19h38m41.79s,+42d04m32.1s,5378.0,,0.95
2764,Kepler-314,Transit,,,19h38m41.79s,+42d04m32.1s,5378.0,,0.95
2765,Kepler-315,Transit,,,19h52m05.54s,+43d21m48.7s,5796.0,,1.04
2766,Kepler-315,Transit,,,19h52m05.54s,+43d21m48.7s,5796.0,,1.04
2767,Kepler-316,Transit,,,19h23m18.25s,+44d11m02.8s,4204.0,,0.52
2768,Kepler-316,Transit,,,19h23m18.25s,+44d11m02.8s,4204.0,,0.52
2769,Kepler-317,Transit,,,19h39m46.53s,+39d01m55.4s,5497.0,,0.94
2770,Kepler-317,Transit,,,19h39m46.53s,+39d01m55.4s,5497.0,,0.94
2771,Kepler-318,Transit,,,19h53m55.88s,+46d47m37.0s,5746.0,,1.19
2772,Kepler-318,Transit,,,19h53m55.88s,+46d47m37.0s,5746.0,,1.19
2773,Kepler-319,Transit,,,19h15m14.87s,+39d46m14.4s,5526.0,,0.9
2774,Kepler-319,Transit,,,19h15m14.87s,+39d46m14.4s,5526.0,,0.9
